brand,hue,sat,lightness,name,specific,shade_group,imgSrc
BECCA Cosmetics,13.2,0.378787878787879,0.258823529411765,Tonka,6W3,Deep Warm,https://images.ulta.com/is/image/Ulta/2549918sw?$50px$
BECCA Cosmetics,10.2857142857143,0.284552845528455,0.241176470588235,Cacao,6C2,Deep Cool,https://images.ulta.com/is/image/Ulta/2528180sw?$50px$
BECCA Cosmetics,8.0,0.267857142857143,0.219607843137255,Chestnut,6C3,Deep Cool,https://images.ulta.com/is/image/Ulta/2529031sw?$50px$
Benefit Cosmetics,28.2352941176471,0.548387096774194,0.817647058823529,Fair Cool,Shade 1,Light Cool,https://images.ulta.com/is/image/Ulta/2547818sw?$tn$
Benefit Cosmetics,28.2352941176471,0.80952380952381,0.835294117647059,Light Warm,Shade 2,Light Warm,https://images.ulta.com/is/image/Ulta/2547823sw?$50px$
Benefit Cosmetics,30.4347826086957,0.610619469026549,0.77843137254902,Light Neutral Warm,Shade 3,Light Warm,https://images.ulta.com/is/image/Ulta/2547822sw?$50px$
Benefit Cosmetics,25.0909090909091,0.369127516778524,0.707843137254902,Medium Neutral,Shade 4,Medium Neutral,https://images.ulta.com/is/image/Ulta/2547831sw?$50px$
Benefit Cosmetics,29.2105263157895,0.52054794520548,0.713725490196078,Shade   Medium Neutral Warm,5,Medium Warm,https://images.ulta.com/is/image/Ulta/2547830sw?$50px$
Benefit Cosmetics,30.0,0.533333333333333,0.647058823529412,Medium Warm,Shade 6,Medium Warm,https://images.ulta.com/is/image/Ulta/2547829sw?$50px$
Benefit Cosmetics,33.7226277372263,0.554655870445344,0.515686274509804,Medium-Tan Neutral,Shade 7,Medium Neutral,https://images.ulta.com/is/image/Ulta/2547826sw?$50px$
Benefit Cosmetics,25.2631578947368,0.5,0.447058823529412,Tan Warm,Shade 8,Tan Warm,https://images.ulta.com/is/image/Ulta/2547838sw?$50px$
Benefit Cosmetics,27.2727272727273,0.45360824742268,0.380392156862745,Deep Neutral,Shade 9,Deep Neutral,https://images.ulta.com/is/image/Ulta/2547827sw?$50px$
Benefit Cosmetics,21.8691588785047,0.584699453551913,0.358823529411765,Deep Warm,Shade 10,Deep Warm,https://images.ulta.com/is/image/Ulta/2547840sw?$50px$
Benefit Cosmetics,23.2835820895522,0.437908496732026,0.3,Dark Neutral,Shade 11,Deep Neutral,https://images.ulta.com/is/image/Ulta/2547836sw?$50px$
Benefit Cosmetics,15.0,0.350515463917526,0.380392156862745,Dark Warm,Shade 12,Deep Warm,https://images.ulta.com/is/image/Ulta/2547828sw?$50px$
Benefit Cosmetics,32.7272727272727,0.44,0.803921568627451,Fair Cool,Shade 1,Light Cool,https://images.ulta.com/is/image/Ulta/2546882sw?$tn$
Benefit Cosmetics,31.0714285714286,0.608695652173913,0.819607843137255,Light Neutral,Shade 2,Light Neutral,https://images.ulta.com/is/image/Ulta/2546886sw?$50px$
Benefit Cosmetics,35.1724137931034,0.475409836065574,0.76078431372549,Light Neutral Warm,Shade 3,Light Warm,https://images.ulta.com/is/image/Ulta/2546884sw?$50px$
Benefit Cosmetics,28.0851063829787,0.29559748427673,0.688235294117647,Medium Neutral,Shade 4,Medium Neutral,https://images.ulta.com/is/image/Ulta/2546883sw?$50px$
Benefit Cosmetics,31.5,0.519480519480519,0.698039215686274,Shade   Medium Neutral Warm,5,Medium Warm,https://images.ulta.com/is/image/Ulta/2546885sw?$50px$
Benefit Cosmetics,31.25,0.505263157894737,0.627450980392157,Medium Warm,Shade 6,Medium Warm,https://images.ulta.com/is/image/Ulta/2546889sw?$50px$
Benefit Cosmetics,35.6043956043956,0.431279620853081,0.586274509803922,Medium-Tan Neutral,Shade 7,Medium Neutral,https://images.ulta.com/is/image/Ulta/2546890sw?$50px$
Benefit Cosmetics,29.6,0.333333333333333,0.558823529411765,Tan Warm,Shade 8,Tan Warm,https://images.ulta.com/is/image/Ulta/2546887sw?$50px$
Benefit Cosmetics,31.5789473684211,0.452380952380952,0.494117647058824,Deep Neutral,Shade 9,Deep Neutral,https://images.ulta.com/is/image/Ulta/2546888sw?$50px$
Benefit Cosmetics,25.609756097561,0.383177570093458,0.419607843137255,Deep Warm,Shade 10,Deep Warm,https://images.ulta.com/is/image/Ulta/2546948sw?$50px$
Benefit Cosmetics,31.3333333333333,0.445544554455446,0.396078431372549,Dark Neutral,Shade 11,Deep Neutral,https://images.ulta.com/is/image/Ulta/2546950sw?$50px$
Benefit Cosmetics,25.7142857142857,0.380434782608696,0.36078431372549,Dark Warm,Shade 12,Deep Warm,https://images.ulta.com/is/image/Ulta/2546952sw?$50px$
It Cosmetics,25.2272727272727,0.536585365853659,0.67843137254902,Medium Neutral,33,Medium Neutral,https://images.ulta.com/is/image/Ulta/2568662sw?$tn$
It Cosmetics,30.0,0.8,0.901960784313726,Fair Warm,10,Light Warm,https://images.ulta.com/is/image/Ulta/2568652sw?$50px$
It Cosmetics,27.0588235294118,0.525773195876289,0.809803921568627,Fair Neutral,10.5,Light Neutral,https://images.ulta.com/is/image/Ulta/2570827sw?$50px$
It Cosmetics,28.2352941176471,0.641509433962264,0.792156862745098,Fair Neutral,11,Light Neutral,https://images.ulta.com/is/image/Ulta/2568658sw?$50px$
It Cosmetics,29.5890410958904,0.70873786407767,0.798039215686275,Fair Warm,12,Light Warm,https://images.ulta.com/is/image/Ulta/2568654sw?$50px$
It Cosmetics,27.6315789473684,0.775510204081633,0.807843137254902,Light Cool,20,Light Cool,https://images.ulta.com/is/image/Ulta/2568659sw?$50px$
It Cosmetics,22.1538461538462,0.607476635514019,0.790196078431373,Light Neutral,20.5,Light Neutral,https://images.ulta.com/is/image/Ulta/2570828sw?$50px$
